flight_id,departure_city,arrival_city,scheduled_departure,model,duration_mm,passengers,profit_total_amount, profit_per_km , passenger_percent 
136511,Анапа,Новокузнецк,2017-02-21T06:10:00Z,Boeing 737-300,305.0,0,,0,0E-20
136513,Анапа,Новокузнецк,2017-02-28T06:10:00Z,Boeing 737-300,305.0,0,,0,0E-20
136514,Анапа,Новокузнецк,2017-02-07T06:10:00Z,Boeing 737-300,305.0,0,,0,0E-20
136523,Анапа,Новокузнецк,2017-01-10T06:10:00Z,Boeing 737-300,305.0,0,,0,0E-20
136540,Анапа,Новокузнецк,2017-01-17T06:10:00Z,Boeing 737-300,305.0,0,,0,0E-20
136544,Анапа,Новокузнецк,2017-01-31T06:10:00Z,Boeing 737-300,305.0,0,,0,0E-20
136546,Анапа,Новокузнецк,2017-01-03T06:10:00Z,Boeing 737-300,305.0,0,,0,0E-20
136560,Анапа,Новокузнецк,2017-01-24T06:10:00Z,Boeing 737-300,305.0,0,,0,0E-20
136567,Анапа,Новокузнецк,2017-02-14T06:10:00Z,Boeing 737-300,305.0,0,,0,0E-20
136571,Анапа,Белгород,2017-01-25T09:25:00Z,Sukhoi Superjet-100,50.0,95,752700.00,1194.7619047619047619,97.93814432989690721600
136586,Анапа,Белгород,2017-01-10T09:25:00Z,Sukhoi Superjet-100,50.0,96,759000.00,1204.7619047619047619,98.96907216494845360800
136600,Анапа,Белгород,2017-02-08T09:25:00Z,Sukhoi Superjet-100,50.0,97,765300.00,1214.7619047619047619,100.00000000000000000000
136605,Анапа,Белгород,2017-02-15T09:25:00Z,Sukhoi Superjet-100,50.0,97,765300.00,1214.7619047619047619,100.00000000000000000000
136609,Анапа,Белгород,2017-01-08T09:25:00Z,Sukhoi Superjet-100,50.0,81,639300.00,1014.7619047619047619,83.50515463917525773200
136612,Анапа,Белгород,2017-02-21T09:25:00Z,Sukhoi Superjet-100,50.0,94,746400.00,1184.7619047619047619,96.90721649484536082500
136620,Анапа,Белгород,2017-02-17T09:25:00Z,Sukhoi Superjet-100,50.0,79,613500.00,973.8095238095238095,81.44329896907216494800
